CLASSIFICATION,QF,RESOURCE_AGG_TYPE,PARENT_RESOURCE_ID,RESOURCE_ID,RESOURCE_TYPE,GEN_UNIT_NAME,NET_DEPENDABLE_CAPACITY,NAMEPLATE_CAPACITY,PTO_AREA,OWNER_OR_QF,UNIT_TYPE,ENERGY_SOURCE,ZONE,COD,RIVER_SYSTEM,BAA_ID,UDC
Participating Unit,N,N,,TEHAPI_2_WIND2,GEN,Wind Wall Monolith 2,21.24,22.5,SCE,"Tehachapi Wind Wall, LLC",WIND,WIND,SP15,2016-06-14,,CISO,SCE
Participating Unit,N,N,,VICTOR_1_SLRHES,GEN,Sunedison - Hesperia,1.5,1.5,SCE,"SunEdison Utility Solutions, LLC",PHOTO VOLTAIC,SUN,SP15,2014-08-08,,CISO,SCE
Participating Unit,N,N,,ULTPCH_1_UNIT 1,GEN,Pacific Ultrapower Chinese Station,18,25.3,PGAE,"Sierra Energy Storage, LLC",STEAM,BIOMASS,NP15,2017-03-01,,CISO,PGAE
Participating Unit,N,N,,KINGRV_7_UNIT 1,GEN,KINGS RIVER HYDRO UNIT 1,51.2,51.2,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1962-01-01,,CISO,PGAE
Participating Unit,N,N,,RCKCRK_7_UNIT 1,GEN,ROCK CREEK HYDRO UNIT 1,57,57,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1950-01-01,,CISO,PGAE
Non-Participating,N,Y,PNCHPP_1_PL1X2,PNCHPP_1_CTG1,GEN,STARWOOD POWER - MIDWAY UNIT 1,82.3,82.3,,"Starwood Power-Midway, LLC",COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Non-Participating,N,Y,PIT5_7_PL1X2,PIT5_7_UNIT 2,GEN,Pit PH 5 Unit 2,41,41,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Participating Unit,N,N,,MALIN_5_INHRED,TG,CSF Columbia Gorge,50,,PGAE,MALIN500,WIND,WIND,NP15,,,BPAT,PGAE
Participating Unit,N,N,,HMLTBR_6_UNITS,GEN,HAMILTON BRANCH PH (AGGREGATE),4.9,4.9,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1921-01-01,,CISO,PGAE
Participating Unit,N,N,,DRUM_7_UNIT 5,GEN,DRUM PH 2 UNIT 5,50,50,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1965-01-01,,CISO,PGAE
Participating Unit,N,N,,SUMWHT_6_SWSSR1,GEN,Summer Wheat Solar Farm,18.5,18.5,PGAE,"GASNA 6P, LLC",PHOTO VOLTAIC,SUN,NP15,2018-10-11,,CISO,PGAE
Non-Participating,N,Y,GENESI_2_STG,GENESI_2_STG2,GEN,Genesis McCoy Solar Project,140,140,,Southern California Edison Company,STEAM,SUN,SP15,,,CISO,
Non-Participating,N,Y,KELSO_2_UNITS,KELSO_3_GTG9,GEN,Mariposa Energy Project,49.4,49.4,,Pacific Gas & Electric Company,COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Participating Unit,N,N,,WDLEAF_7_UNIT 1,GEN,WOODLEAF HYDRO,60,60,PGAE,South Feather Water and Power,HYDRO,WATER,NP15,1963-01-01,,CISO,PGAE
Participating Unit,Y,N,,UNCHEM_1_UNIT,GEN,CONTRA COSTA CARBON PLANT,19,20,PGAE,Phillips 66 Company,STEAM,COAL,NP15,1983-01-01,,CISO,PGAE
Participating Unit,N,N,,HATLOS_6_LSCRK,GEN,Lost Creek 1 & 2 Hydro Conversion,1.7,1.7,PGAE,"Snow Mountain Hydro, LLC.",HYDRO,WATER,NP15,1989-06-15,,CISO,PGAE
Participating Unit,Y,N,,DISCOV_1_CHEVRN,GEN,CHEVRON USA (EASTRIDGE),48.8,56.2,PGAE,Pacific Gas & Electric Company,COMBUSTION TURBINE,NATURAL GAS,ZP26,1988-06-13,,CISO,PGAE
Participating Unit,N,N,,TOADTW_6_UNIT,GEN,TOAD TOWN,1.5,1.5,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1986-01-01,,CISO,PGAE
Participating Unit,N,N,,COLGNS_2_CNSSR1,TG,ColGreen North Shore ,74.8,74.8,SCE,MIR2,PHOTO VOLTAIC,SUN,SP15,2018-12-31,,IID,SCE
Participating Unit,N,N,,ELCAJN_6_UNITA1,GEN,Cuyamaca Peak Energy Plant,45.42,48,SDGE,San Diego Gas & Electric,COMBUSTION TURBINE,NATURAL GAS,SP15,2002-05-29,,CISO,SDGE
Participating Unit,N,N,,RAMON_2_SCEDYN,TG,RAMON_2_SCEDYN,359.6,,SCE,MIR2,OTHER,GEOTHERMAL,SP15,,,IID,SCE
Non-Participating,N,Y,SUNSHN_2_LNDFL,SUNSHN_2_LNDFL1,GEN,SUNSHN_2_LNDFL1,4.6,4.6,,"Sunshine Gas Producers, L.L.C. Unit 1",COMBUSTION TURBINE,BIOGAS,SP15,,,CISO,
Participating Unit,Y,N,,VESTAL_6_QF,GEN,VESTAL QFS,12.3,20,SCE,Southern California Edison Company,HYDRO,WATER,SP15,1989-01-01,,CISO,SCE
Participating Unit,N,N,,MSTANG_2_SOLAR4,GEN,Mustang 4,30,30,PGAE,RE Mustang 4 LLC,PHOTO VOLTAIC,SUN,NP15,2016-06-09,,CISO,PGAE
Participating Unit,N,N,,7STDRD_1_SOLAR1,GEN,Shafter Solar,20,20,PGAE,"Shafter Solar, LLC",PHOTO VOLTAIC,SUN,ZP26,2015-06-04,,CISO,PGAE
Participating Unit,N,N,,PLAINV_6_DSOLAR,GEN,Western Antelope Dry Ranch ,10,10,SCE,Western Antelope Dry Ranch LLC,PHOTO VOLTAIC,SUN,SP15,2016-12-01,,CISO,SCE
Participating Unit,N,N,,DAIRLD_1_MD2BM1,GEN,Madera Digester Genset 2,0.8,0.8,PGAE,Madera Renewable Energy LLC,RECIPROCATING ENGINE,BIOGAS,NP15,2019-01-11,,CISO,PGAE
Non-Participating,N,Y,BIGCRK_2_EXESWD,BGCRK3_7_UNIT 1,GEN,BIG CREEK PH 3 UNIT 1,34,34,,Southern California Edison Company,HYDRO,WATER,SP15,,,CISO,
Non-Participating,,Y,ANTLPE_2_QF,DTCHWD_6_QF,GEN,DTCHWD_6_QF,14,14,,,,,SP15,,,CISO,
Non-Participating,,Y,VERNON_6_MALBRG,VERNON_7_STG3,GEN,VERNON_7_STG3,50,50,,,,,SP15,,,CISO,
Non-Participating,N,Y,DSRTSL_2_SOLAR1,DSRTSL_2_SOLR1A,GEN,DSRTSL_2_SOLR1A,148.1,148.1,,"Desert Stateline, LLC",PHOTO VOLTAIC,SUN,SP15,,,CISO,
Participating Unit,N,Y,HIDSRT_2_UNITS,HIDSRT_2_UNITS,GEN,HIGH DESERT POWER PROJECT AGGREGATE,830,,SCE,"High Desert Power Project, LLC",COMBINED CYCLE,NATURAL GAS,SP15,2003-04-21,,CISO,SCE
Participating Unit,Y,N,,BIOMAS_1_UNIT 1,GEN,WOODLAND BIOMASS,25.5,28.8,PGAE,"Woodland Biomass Power, Ltd.",STEAM,BIOMASS,NP15,1989-08-31,,CISO,PGAE
Non-Participating,N,Y,DUANE_1_PL1X3,DUANE_7_STG3,GEN,Donald Von Raesfeld STG Unit 3,53.6,53.6,,Donald Von Raesfeld Power Plant,STEAM,HEAT RECOVERY,NP15,,,CISO,
Non-Participating,N,Y,AGRICO_7_UNIT,AGRICO_7_UNIT 2,GEN,Fresno Cogen STG Unit 2,7.5,7.5,,"Fresno Cogeneration Partners, LP",STEAM,HEAT RECOVERY,NP15,,,CISO,
Participating Unit,Y,N,,COVERD_2_HCKHY1,GEN,HATCHET CREEK,6.89,7,PGAE,Mega Renewables,HYDRO,WATER,NP15,2017-06-01,,CISO,PGAE
Participating Unit,N,N,,CHINO_2_JURUPA,GEN,Jurupa,1.5,1.5,SCE,"California PV Energy, LLC",PHOTO VOLTAIC,SUN,SP15,2013-12-20,,CISO,SCE
Non-Participating,,Y,OGROVE_6_PL1X2,OGROVE_6_CTG1,GEN,Orange Grove,75,75,,Orange Grove LLC,COMBUSTION TURBINE,NATURAL GAS,SP15,,,CISO,
Participating Unit,N,N,,VERNON_6_GONZL2,GEN,H. Gonzales Unit #2,5.75,5.5,SCE,City of Vernon,COMBUSTION TURBINE,NATURAL GAS,SP15,,,CISO,VERN
Participating Unit,N,N,,ALTA3A_2_CPCE8,GEN,Alta Wind 8,150,150,SCE,"Alta Interconnection Management II, LLC",WIND,WIND,SP15,2012-02-01,,CISO,SCE
Participating Unit,Y,N,,RECTOR_2_QF,GEN,RECTOR QFS,17,19.5,SCE,Southern California Edison Company,OTHER,OTHER,SP15,1984-01-01,,CISO,SCE
Participating Unit,N,N,,FTSWRD_6_TRFORK,GEN,Three Forks Water Power Project,1.63,1.5,PGAE,Grizzly Mountain Ranch,HYDRO,WATER,NP15,2011-11-01,,CISO,PGAE
Participating Unit,Y,N,,SAMPSN_6_KELCO1,GEN,KELCO QUALIFYING FACILITY,25,28,SDGE,"CP Kelco U.S., Inc.",COMBUSTION TURBINE,OTHER,SP15,2014-03-05,,CISO,SDGE
Participating Unit,N,N,,BRDSLD_2_SHILO2,GEN,SHILOH WIND PROJECT 2,150,150,PGAE,"Shiloh Wind Project 2, LLC",WIND,WIND,NP15,2009-01-27,,CISO,PGAE
Participating Unit,N,N,,REDOND_7_UNIT 5,GEN,REDONDO GEN STA. UNIT 5,178.87,175,SCE,AES Redondo Beach,STEAM,NATURAL GAS,SP15,1954-01-01,,CISO,SCE
Participating Unit,N,N,,GARNET_2_HYDRO,GEN,Whitewater Hydro,1,1,SCE,Desert Water Agency,HYDRO,WATER,SP15,2016-07-08,,CISO,SCE
Participating Unit,N,N,,PADUA_2_ONTARO,GEN,ONTARIO/SIERRA HYDRO PSP,1.92,1,SCE,Southern California Edison Company,HYDRO,WATER,SP15,1902-01-01,,CISO,SCE
Participating Unit,N,N,,PLAINV_6_SOLARC,GEN,Central Antelope Dry Ranch C,20,20,SCE,"Central Antelope Dry Ranch C, LLC",PHOTO VOLTAIC,SUN,SP15,2016-05-06,,CISO,SCE
Participating Unit,Y,N,,BUCKWD_7_WINTCV,GEN,"Wintec Energy, Ltd.",1.32,1.3,SCE,"Wintec Energy, Ltd.",WIND,WIND,SP15,2003-12-30,,CISO,SCE
Non-Participating,N,Y,ELECTR_7_PL1X3,ELECTR_7_UNIT 1,GEN,ELECTRA UNIT 1,31.7,31.7,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Non-Participating,N,Y,DMDVLY_1_UNITS,DMDVLY_1_GEN 9,GEN,Diamond Valley Unit 9,3.3,3.3,,Metropolitan Water District of Southern California (MWD),HYDRO,WATER,SP15,,,CISO,
Participating Unit,N,Y,BUCKBL_2_PL1X3,BUCKBL_2_PL1X3,GEN,Blythe Energy Center,493.63,,SCE,Blythe Energy Inc,COMBINED CYCLE,NATURAL GAS,SP15,2010-07-31,,CISO,SCE
Non-Participating,N,Y,ELKHIL_2_PL1X3,ELKHIL_7_STG,GEN,ELK HILLS STEAM TURBINE UNIT,223,223,,"Elk Hills Power, LLC",STEAM,HEAT RECOVERY,ZP26,,,CISO,
Participating Unit,N,N,,VALLEY_5_PERRIS,GEN,MWD Perris Hydroelectric Recovery Plant,7.94,7.9,SCE,Metropolitan Water District of Southern California,HYDRO,WATER,SP15,1983-01-01,,CISO,SCE
Participating Unit,N,N,,REDOND_7_UNIT 8,GEN,REDONDO GEN STA. UNIT 8,495.9,480,SCE,AES Redondo Beach,STEAM,NATURAL GAS,SP15,1967-01-01,,CISO,SCE
Participating Unit,N,N,,CSLR4S_2_SOLAR,GEN,Csolar IV South,130,130,SDGE,"CSolar IV South, LLC",PHOTO VOLTAIC,SUN,SP15,2013-10-11,,CISO,SDGE
Participating Unit,N,N,,CUYAMS_6_CUYSR1,GEN,Cuyama Solar,40,40,PGAE,"Cuyama Solar, LLC",PHOTO VOLTAIC,SUN,ZP26,2017-11-30,,CISO,PGAE
Participating Unit,Y,N,,CPSTNO_7_PRMADS,GEN,PRIMA DESCHECHA (CAPISTRANO),6.1,6.1,SDGE,MM Prima Deshecha Energy LLC,RECIPROCATING ENGINE,BIOGAS,SP15,1999-01-01,,CISO,SDGE
Participating Unit,Y,N,,GARNET_1_UNITS,GEN,GARNET GREEN POWER PROJECT AGGREGATE,16.5,16.5,SCE,"FPL Energy Green Power Wind, LLC",WIND,WIND,SP15,1975-07-01,,CISO,SCE
Non-Participating,N,Y,INTKEP_2_UNITS,INTKEP_2_HOLM 2,GEN,HOLM HYDRO UNIT 2,83,83,,,,,NP15,,,CISO,
Non-Participating,,Y,STOILS_1_UNITS,STOILS_1_UNIT 2,GEN,STOILS_1_UNIT 2,62.5,62.5,,,,,NP15,,,CISO,
Participating Unit,N,N,,ELKCRK_6_STONYG,GEN,STONEY GORGE HYDRO AGGREGATE,4.9,4.9,PGAE,City of Santa Clara DBA Silicon Valley Power (MSS Agreement - S14),HYDRO,WATER,NP15,1986-01-01,,CISO,NCPA
Participating Unit,N,N,,BLCKBT_2_STONEY,GEN,BLACK BUTTE HYDRO,6.2,6.2,PGAE,City of Santa Clara DBA Silicon Valley Power (MSS Agreement - S14)              ,HYDRO,WATER,NP15,1988-01-01,,CISO,NCPA
Participating Unit,N,N,,KERNFT_1_UNITS,GEN,KERN FRONT LIMITED,52.4,60,PGAE,KERN FRONT LIMITED,COMBUSTION TURBINE,NATURAL GAS,ZP26,1989-01-07,,CISO,PGAE
Participating Unit,N,N,,ELCAJN_6_EB1BT1,GEN,Eastern BESS 1,7.5,7.5,SDGE,San Diego Gas & Electric,OTHER,LESR,SP15,2017-02-18,,CISO,SDGE
Participating Unit,Y,N,,BURNYF_2_UNIT 1,GEN,Burney Forest Power,31,35.7,PGAE,Burney Forest Products,STEAM,BIOMASS,NP15,2018-08-17,,CISO,PGAE
Non-Participating,N,Y,BIGCRK_2_EXESWD,BGCRK3_7_UNIT 4,GEN,BIG CREEK PH 3 UNIT 4,36,36,,Southern California Edison Company,HYDRO,WATER,SP15,,,CISO,
Participating Unit,Y,N,,RICHMN_7_BAYENV,GEN,BAY ENVIRONMENTAL (NOVE POWER),2.5,2.5,PGAE,Bay Environmental Management,RECIPROCATING ENGINE,BIOGAS,NP15,1985-01-01,,CISO,PGAE
Participating Unit,N,N,,CAMLOT_2_SOLAR2,GEN,Columbia Two,15,15,SCE,RE Columbia Two LLC,PHOTO VOLTAIC,SUN,SP15,2014-12-10,,CISO,SCE
Non-Participating,N,Y,TENGEN_2_PL1X2,TENGEN_6_UNIT 1,GEN,"Berry Petroleum Placerita, Unit 1",22.7,22.7,,,COMBUSTION TURBINE,OTHER,SP15,,,CISO,
Non-Participating,N,Y,BIGCRK_2_EXESWD,BGCRK4_7_UNIT 1,GEN,BIG CREEK PH 4 UNIT 1,50,50,,Southern California Edison Company,HYDRO,WATER,SP15,,,CISO,
Non-Participating,N,Y,CARBOU_7_PL4X5,CARBOU_7_UNIT 5,GEN,Caribou PH 2 Unit 5,61,61,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Participating Unit,N,N,,LARKSP_6_UNIT 2,GEN,LARKSPUR PEAKER UNIT 2,47.98,45,SDGE,Wildflower Energy LP,COMBUSTION TURBINE,NATURAL GAS,SP15,2001-09-13,,CISO,SDGE
Participating Unit,N,Y,TULLCK_7_UNITS,TULLCK_7_UNITS,GEN,Tullock Hydro,25.9,,PGAE,City of Santa Clara DBA Silicon Valley Power (MSS Agreement - S14) ,,WATER,NP15,1958-01-01,,CISO,NCPA
Participating Unit,N,N,,STNRES_1_UNIT,GEN,Covanta Stanislaus,19.9,22.3,PGAE,"Covanta Stanislaus, Inc.",STEAM,WASTE TO POWER,NP15,1988-09-06,,CISO,PGAE
Non-Participating,N,Y,INTKEP_2_UNITS,INTKEP_2_KIRKW1,GEN,KIRKWOOD HYDRO UNIT 1,45,45,,,,,NP15,,,CISO,
Non-Participating,,Y,DEVERS_1_QF,PANSEA_1_SEAWND,GEN,PANSEA_1_SEAWND,28.5,28.5,,,,,SP15,,,CISO,
Participating Unit,N,N,,TRNQL8_2_AZUSR1,GEN,Tranquillity 8 Azul,20,20,PGAE,"Great Valley Solar 3, LLC",PHOTO VOLTAIC,SUN,NP15,2017-12-26,,CISO,PGAE
Non-Participating,N,Y,SALTSP_7_UNITS,SALTSP_7_UNIT 2,GEN,Salt Springs Unit 2,34,34,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Participating Unit,Y,N,,RNDMTN_2_SLSPHY1,GEN,Silver Springs,0.6,0.6,PGAE,Mega Renewables,HYDRO,WATER,NP15,2017-08-10,,CISO,PGAE
Participating Unit,N,N,,OLDRIV_6_CESDBM,GEN,Ces Dairy Biogas,1,1,PGAE,ABEC #4 LLC,RECIPROCATING ENGINE,BIOGAS,ZP26,2018-02-02,,CISO,PGAE
Participating Unit,Y,Y,NHOGAN_6_UNITS,NHOGAN_6_UNITS,GEN,NEW HOGAN PH AGGREGATE,4,,PGAE,Modesto Irrigation District,HYDRO,WATER,NP15,1986-04-15,,CISO,PGAE
Participating Unit,N,N,,OAK C_7_UNIT 1,GEN,OAKLAND STATION C GT UNIT 1,55,55,PGAE,Dynegy Oakland LLC,COMBUSTION TURBINE,DISTILLATE,NP15,1978-01-01,,CISO,PGAE
Participating Unit,Y,N,,NZWIND_6_WDSTR3,GEN,Windstream 6041,3.86,6,SCE,"Windstream Operations, LLC",WIND,WIND,SP15,2014-11-30,,CISO,SCE
Participating Unit,Y,N,,KERNRG_1_UNITS,GEN,South Belridge Cogen Facility,55.2,69.6,PGAE,Aera Energy LLC,COMBUSTION TURBINE,NATURAL GAS,ZP26,1985-01-01,,CISO,PGAE
Participating Unit,Y,N,,MSHGTS_6_MMARLF,GEN,MIRAMAR LANDFILL,5,3,SDGE,MM San Diego LLC,RECIPROCATING ENGINE,BIOGAS,SP15,2003-05-21,,CISO,SDGE
Non-Participating,N,Y,HAASPH_7_PL1X2,HAASPH_7_UNIT 1,GEN,HAAS PH UNIT 1,72,72,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Participating Unit,Y,N,,FORKBU_6_UNIT,GEN,"HYPOWER, INC. (FORKS OF BUTTE)",14.3,14.3,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1992-03-16,,CISO,PGAE
Participating Unit,N,N,,ADERA_1_SOLAR1,GEN,Adera Solar,20,20,PGAE,"Adera Solar, LLC",PHOTO VOLTAIC,SUN,NP15,2015-12-23,,CISO,PGAE
Participating Unit,N,N,,PMPJCK_1_SOLAR1,GEN,Pumpjack Solar I,20,20,PGAE,"Pumpjack Solar I, LLC",PHOTO VOLTAIC,SUN,ZP26,2015-01-27,,CISO,PGAE
Non-Participating,,Y,DSRTSN_2_SOLAR1,DSRTSN_2_SOLR1A,GEN,Desert Sunlight 300,156.9,156.9,,"Desert Sunlight Holdings, LLC",PHOTO VOLTAIC,SUN,SP15,,,CISO,
Non-Participating,N,Y,MOSSLD_2_PSP1,MOSSLD_2_PSP1G1,GEN,"MOSS LANDING CC PLANT 1, CTG UNIT 1",176,176,,Duke Energy Moss Landing LLC,COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Non-Participating,N,Y,CDWR07_2_GEN,WNDGPP_2_NSPIN,GEN,WNDGPP_2_NSPIN,239.1,239.1,,,PUMP,OTHER,ZP26,,,CISO,
Participating Unit,N,N,,WOODWR_1_HYDRO,GEN,Quinten Luallen,7.3,7.3,PGAE,Friant Power Authority,HYDRO,WATER,NP15,2017-06-14,,CISO,PGAE
Participating Unit,N,N,,SPRGVL_2_TULESC,GEN,TULE RIVER HYDRO PLANT (SCE),2.5,2.5,SCE,Southern California Edison Company,HYDRO,WATER,SP15,1909-01-01,,CISO,SCE
Participating Unit,N,N,,INTMNT_3_PASADENA,TG,Intermountain Power Project,107,,SCE,IPP,STEAM,COAL,SP15,,,LDWP,SCE
Participating Unit,N,N,,SNCLRA_2_SPRHYD,GEN,Springville Hydroelectric Generator,1,1,SCE,Calleguas MWD,HYDRO,WATER,SP15,2016-04-19,,CISO,SCE
Participating Unit,Y,N,,PIT5_7_QFUNTS,GEN,GRASSHOPPER FLAT HYDRO,1.1,3.8,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1987-08-15,,CISO,PGAE
Participating Unit,N,N,,VOYAGR_2_VOYWD4,GEN,Voyager Wind 4,21.6,21.6,SCE,"Alta Interconnection Management III, LLC",WIND,WIND,SP15,2018-12-29,,CISO,SCE
Participating Unit,N,N,,ETIWND_2_RTS017,GEN,SPVP017,3.5,3.5,SCE,Southern California Edison,PHOTO VOLTAIC,SUN,SP15,2011-12-15,,CISO,SCE
Participating Unit,N,N,,ETIWND_2_RTS023,GEN,SPVP023 Fontana RT Solar,2.5,2.5,SCE,Southern California Edison,PHOTO VOLTAIC,SUN,SP15,2013-01-16,,CISO,SCE
Non-Participating,,Y,SBERDO_2_PSP4,SBERDO_7_STG4,GEN,SBERDO_7_STG4,202,202,,,,,SP15,,,CISO,
Non-Participating,N,Y,DMDVLY_1_UNITS,DMDVLY_1_GEN 6,GEN,Diamond Valley Unit 6,3.3,3.3,,Metropolitan Water District of Southern California (MWD),HYDRO,WATER,SP15,,,CISO,
Participating Unit,N,N,,BEJNLS_5_BV2SCEDYN,TG,Broadview 2,167,,SCE,WILLOWBEACH,WIND,WIND,SP15,2017-01-27,,AZPS,SCE
Participating Unit,N,N,,EXCHEC_7_UNIT 1,GEN,EXCHEQUER HYDRO,94.5,94.5,PGAE,Merced Irrigation District,HYDRO,WATER,NP15,1967-01-01,,CISO,PGAE
Participating Unit,N,N,,COWCRK_2_UNIT,GEN,Cow Creek Hydro,2,2,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1907-01-01,,CISO,PGAE
Participating Unit,N,N,,CNTRVL_6_UNIT,GEN,Centerville,6.4,6.4,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,PGAE
Participating Unit,N,N,,OTAY_6_LNDFL6,GEN,Otay 6,1.5,1.5,SDGE,"Otay Landfill Gas, LLC",RECIPROCATING ENGINE,BIOGAS,SP15,2014-03-14,,CISO,SDGE
Non-Participating,N,Y,BRODIE_2_WIND,BRODIE_2_WIND2,GEN,Coram Brodie Wind Project Section 15,24,24,,Southern California Edison Company,WIND,WIND,SP15,,,CISO,
Non-Participating,N,Y,DMDVLY_1_UNITS,DMDVLY_1_GEN 11,GEN,Diamond Valley Unit 11,3.3,3.3,,Metropolitan Water District of Southern California (MWD),HYDRO,WATER,SP15,,,CISO,
Participating Unit,N,N,,CRNEVL_6_CRNVA,GEN,Crane Valley ,0.9,0.9,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1919-01-01,,CISO,PGAE
Participating Unit,N,N,,SNDBAR_7_UNIT 1,GEN,SANDBAR,16.2,18.6,PGAE,Tri-Dam Power Authority,HYDRO,WATER,NP15,2017-01-01,,CISO,PGAE
Participating Unit,N,N,,MSQUIT_5_SERDYN,TG,MSQUIT_5_SERDYN,625,,SCE,PVWEST,COMBINED CYCLE,NATURAL GAS,SP15,,,SRP,SCE
Participating Unit,N,N,,HOLSTR_1_SOLAR2,GEN,Hollister Solar,1.5,1.5,PGAE,Hollister Solar LLC,PHOTO VOLTAIC,SUN,NP15,2015-04-17,,CISO,PGAE
Participating Unit,N,N,,GEYS17_2_BOTRCK,GEN,Bottle Rock Geothermal,10.01,55,PGAE,Bottle Rock Power,STEAM,GEOTHERMAL,NP15,,,CISO,PGAE
Non-Participating,N,Y,COLUSA_2_PL1X3,COLUSA_2_CTG2,GEN,Colusa Generating Station,213.5,213.5,,Pacific Gas & Electric Company,COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Non-Participating,N,Y,DREWS_6_PL1X4,DREWS_6_GEN 4,GEN,DREWS UNIT 4,10.8,10.8,,"Colton Power, LP ",COMBUSTION TURBINE,NATURAL GAS,SP15,,,CISO,
Non-Participating,,Y,SBERDO_2_PSP4,SBERDO_7_CT4A,GEN,SBERDO_7_CT4A,182,182,,,,,SP15,,,CISO,
Participating Unit,N,N,,CALFTN_2_SOLAR,GEN,California Flats North,130,130,PGAE,"CA Flats Solar 130, LLC",PHOTO VOLTAIC,SUN,ZP26,2017-11-29,,CISO,PGAE
Participating Unit,N,N,,VICTOR_1_VDRYFA,GEN,Victor Dry Farm Ranch A ,5,5,SCE,Victor Dry Farm Ranch A  LLC,PHOTO VOLTAIC,SUN,SP15,2015-06-12,,CISO,SCE
Non-Participating,N,Y,SANITR_6_UNITS,SANITR_6_CTG3,GEN,LACSD CARSON WATER POLLUTION CTG3,10,10,,County Sanitation District No. 2 of Los Angeles County,COMBUSTION TURBINE,BIOGAS,SP15,,,CISO,
Participating Unit,N,N,,WALCRK_2_CTG1,GEN,Walnut Creek Energy Park Unit 1,96.43,102.5,SCE,"Walnut Creek Energy, LLC",COMBUSTION TURBINE,NATURAL GAS,SP15,2013-03-21,,CISO,SCE
Participating Unit,N,N,,ADMEST_6_SOLAR,GEN,Adams East,19,19,PGAE,"RE Adams East, LLC",PHOTO VOLTAIC,SUN,NP15,2014-12-13,,CISO,PGAE
Participating Unit,N,N,,ALT6DN_2_WIND7,GEN,Pinyon Pines 1,168,168,SCE,"Alta Interconnection Management III, LLC",WIND,WIND,SP15,2013-01-01,,CISO,SCE
Participating Unit,N,Y,SCEW_2_PDRP101,SCEW_2_PDRP101,GEN,SCEW_2_PDRP101,0.99,,SCE,"OHMCONNECT, INC.",OTHER,OTHER,SP15,,,CISO,SCE
Non-Participating,,Y,CORONS_6_CLRWTR,CORONS_6_CLRCTG,GEN,CORONS_6_CLRCTG,23.8,23.8,,,,,SP15,,,CISO,
Participating Unit,N,N,,ALAMIT_7_UNIT 5,GEN,ALAMITOS GEN STA. UNIT 5,497.97,482,SCE,AES Alamitos,STEAM,NATURAL GAS,SP15,1999-01-01,,CISO,SCE
Participating Unit,N,N,,POEPH_7_UNIT 2,GEN,POE HYDRO UNIT 2,68.5,68.5,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1958-01-01,,CISO,PGAE
Participating Unit,Y,N,,DEADCK_1_UNIT,GEN,DEADCK_1_UNIT,2,2,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1990-01-29,,CISO,PGAE
Participating Unit,N,N,,BORDER_6_UNITA1,GEN,CalPeak Power Border Unit 1,51.25,52,SDGE,CalPeak Power - Border LLC,COMBUSTION TURBINE,NATURAL GAS,SP15,2001-10-26,,CISO,SDGE
Participating Unit,N,N,,WHITNY_6_SOLAR,GEN,Whitney Point Solar,20,22,PGAE,"Whitney Point Solar, LLC",PHOTO VOLTAIC,SUN,NP15,2017-04-15,,CISO,PGAE
Participating Unit,N,N,,CRELMN_6_RAMON2,GEN,Ramona 2,5,5,SDGE,"Sol Orchard San Diego 21, LLC",PHOTO VOLTAIC,SUN,SP15,2013-12-31,,CISO,SDGE
Participating Unit,N,N,,NZWIND_2_WDSTR5,GEN,Windstream 6111,6.31,6.5,SCE,"Wind Stream Operations, LLC",WIND,WIND,SP15,2016-03-08,,CISO,SCE
Non-Participating,N,Y,MOSSLD_2_PSP1,MOSSLD_2_PSP1G3,GEN,"MOSS LANDING CC PLANT 1, STG UNIT",198,198,,Duke Energy Moss Landing LLC,STEAM,HEAT RECOVERY,NP15,,,CISO,
Participating Unit,N,Y,CENTRY_6_PL1X4,CENTRY_6_PL1X4,GEN,CENTURY GENERATING PLANT (AGGREGATE),41.4,,SCE,"Colton Power, LP ",COMBUSTION TURBINE,NATURAL GAS,SP15,2001-09-17,,CISO,SCE
