CLASSIFICATION,QF,RESOURCE_AGG_TYPE,PARENT_RESOURCE_ID,RESOURCE_ID,RESOURCE_TYPE,GEN_UNIT_NAME,NET_DEPENDABLE_CAPACITY,NAMEPLATE_CAPACITY,PTO_AREA,OWNER_OR_QF,UNIT_TYPE,ENERGY_SOURCE,ZONE,COD,RIVER_SYSTEM,BAA_ID,UDC
Participating Unit,N,N,,ALAMO_6_UNIT,GEN,ALAMO POWER PLANT ,17,18,SCE,California Dept. of Water Resources,HYDRO,WATER,SP15,1986-01-01,,CISO,CWRS
Participating Unit,N,N,,ALTA4B_2_CPCW3,GEN,Alta Wind 3,150,150,SCE,"Alta Interconnection Management, LLC",WIND,WIND,SP15,2011-02-12,,CISO,SCE
Non-Participating,N,Y,PNOCHE_1_PL1X2,PNOCHE_7_CTG1,GEN,Panoche Peaker Facility,49,49,,"Wellhead Power Panoche, LLC",COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Non-Participating,N,Y,ELSEGN_2_UN2021,ELSEGN_2_UNIT20,GEN,El Segundo Energy Center Unit 8,90.5,90.5,,El Segundo Energy Center LLC,COMBINED CYCLE,NATURAL GAS,SP15,,,CISO,
Participating Unit,Y,N,,CHINO_2_QF,GEN,CHINO QFS,0.58,21.8,SCE,Southern California Edison Company,OTHER,OTHER,SP15,1987-01-01,,CISO,SCE
Participating Unit,N,N,,RTREE_2_WIND3,GEN,Rising Tree 3,99,99,SCE,Rising Tree Wind Farm III LLC,WIND,WIND,SP15,2015-06-25,,CISO,SCE
Participating Unit,N,N,,S_RITA_6_SOLAR1,GEN,Sun Harvest Solar,1.5,1.5,PGAE,Sun Harvest Solar ,PHOTO VOLTAIC,SUN,NP15,2015-05-28,,CISO,PGAE
Participating Unit,N,Y,SCEC_1_PDRP104,SCEC_1_PDRP104,GEN,SCEC_1_PDRP104,0.99,,SCE,"OHMCONNECT, INC.",OTHER,OTHER,SP15,,,CISO,SCE
Non-Participating,N,Y,SLUISP_2_UNITS,SLUISP_2_UNIT 3,GEN,San Luis P-G Unit 3,53,53,PGAE,California Dept. of Water Resources,PUMPED STORAGE,WATER,NP15,,,CISO,PGAE
Participating Unit,N,N,,BISHOP_1_UNITS,GEN,BISHOP CREEK PLANT 3  AND  4,15.8,15.8,SCE,Southern California Edison Company,HYDRO,WATER,SP15,1905-01-01,,CISO,SCE
